City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
158,tuatapere,76,NZ,1525254446,100,-46.13,167.69,51.14,8.23
159,great yarmouth,75,GB,1525252800,81,52.61,1.73,51.8,24.16
160,ribeira grande,40,PT,1525251600,72,38.52,-28.7,59.0,11.41
161,sioux lookout,90,CA,1525251720,87,50.1,-91.92,33.8,3.36
162,ciudad bolivar,88,VE,1525254881,85,8.12,-63.55,76.7,9.46
163,sterling,1,US,1525253820,87,39.0,-77.4,57.2,2.75
164,grand-santi,92,GF,1525254882,98,4.27,-54.38,73.91,3.31
165,east london,0,ZA,1525251600,33,-33.02,27.91,89.6,5.82
166,iskateley,64,RU,1525254883,100,67.68,53.15,29.18,11.48
167,sinnamary,92,GF,1525254477,100,5.38,-52.96,76.34,9.57
168,kahului,40,US,1525251360,94,20.89,-156.47,69.8,7.0
169,santiago del estero,100,AR,1525254883,98,-27.8,-64.26,67.61,5.1
170,pitimbu,40,BR,1525251600,88,-7.47,-34.81,73.4,2.24
171,vostok,80,RU,1525254884,31,46.45,135.83,50.96,3.31
172,talnakh,76,RU,1525254477,98,69.49,88.39,14.6,11.25
173,puerto ayora,56,EC,1525254461,100,-0.74,-90.35,74.99,6.78
174,bambous virieux,75,MU,1525251600,65,-20.34,57.76,82.4,14.99
175,farafangana,48,MG,1525254885,93,-22.82,47.83,78.59,9.46
176,arraial do cabo,0,BR,1525251600,94,-22.97,-42.02,73.4,9.17
177,waipawa,0,NZ,1525254885,83,-39.94,176.59,42.5,4.32
178,yingkou,76,CN,1525254886,29,40.67,122.24,64.28,20.76
179,te anau,20,NZ,1525254886,87,-45.41,167.72,38.81,2.19
180,dingle,8,PH,1525254545,68,11.0,122.67,85.43,8.01
181,emerald,100,AU,1525254886,43,-23.53,148.16,74.36,4.99
182,castro,92,CL,1525254447,100,-42.48,-73.76,43.76,4.88
183,kruisfontein,68,ZA,1525254491,80,-34.0,24.73,68.24,21.43
184,jardim,0,BR,1525254887,78,-21.48,-56.15,65.18,3.53
185,chernyshevskiy,64,RU,1525254539,70,63.01,112.47,47.9,4.32
186,caravelas,0,BR,1525254888,99,-17.73,-39.27,78.95,6.11
187,berdigestyakh,36,RU,1525254888,40,62.1,126.7,54.38,10.8
188,sharjah,0,AE,1525251600,20,25.36,55.39,102.2,11.41
189,havoysund,0,NO,1525252800,51,71.0,24.66,41.0,10.29
190,dikson,48,RU,1525254468,100,73.51,80.55,12.44,6.22
191,vila franca do campo,75,PT,1525251600,67,37.72,-25.43,59.0,9.17
192,lompoc,90,US,1525253700,93,34.64,-120.46,53.6,3.36
193,waingapu,88,ID,1525254889,87,-9.65,120.26,76.88,2.53
194,marathon,12,CA,1525254890,89,48.72,-86.38,35.93,8.12
195,zhangye,0,CN,1525254890,48,38.94,100.46,70.4,4.54
196,starychi,0,UA,1525251600,46,49.97,23.55,73.4,4.47
197,namatanai,44,PG,1525254891,100,-3.66,152.44,82.37,8.01
198,toora-khem,76,RU,1525254891,64,52.47,96.11,40.52,3.42
199,ticuantepe,20,NI,1525251600,78,12.02,-86.21,77.0,9.17
